@relation vsrr-provisional-drug-overdose-death-counts

@attribute State {AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY,YC}
@attribute 'State Name' {AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY,YC}
@attribute Year numeric
@attribute Month {January,February,March,April,May,June,July,August,September,October,November,December}
@attribute Indicator {'Number of Deaths','Number of Drug Overdose Deaths','Cocaine (T40.5)','Heroin (T40.1)','Methadone (T40.3)','Natural & semi-synthetic opioids (T40.2)','Opioids (T40.0-T40.4,T40.6)','Percent with drugs specified','Psychostimulants with abuse potential (T43.6)','Synthetic opioids, excl. methadone (T40.4)'}
@attribute 'Data Value' numeric
@attribute 'Predicted Value' numeric
@attribute 'Percent Complete' numeric
@attribute 'Percent Pending Investigation' numeric
@attribute Footnote {'Underreported due to incomplete data','Jurisdiction-specific values not shown for 2018 due to incomplete cause of death reporting at the time of analysis'}

@data
AK,AK,2015,January,'Number of Deaths',4034,?,100,0,?
AK,AK,2015,February,'Number of Deaths',4084,?,100,0,?
AK,AK,2015,March,'Number of Deaths',4101,?,100,0,?
AK,AK,2015,April,'Number of Deaths',4133,?,100,0,?
AK,AK,2015,May,'Number of Deaths',4196,?,100,0,?
AK,AK,2015,June,'Number of Deaths',4201,?,100,0,?
AK,AK,2015,July,'Number of Deaths',4220,?,100,0,?
AK,AK,2015,August,'Number of Deaths',4222,?,100,0,?
AK,AK,2015,September,'Number of Deaths',4242,?,100,0,?
AK,AK,2015,October,'Number of Deaths',4241,?,100,0,?
AK,AK,2015,November,'Number of Deaths',4219,?,100,0,?
AK,AK,2015,December,'Number of Deaths',4193,?,100,0,?
AK,AK,2016,January,'Number of Deaths',4213,?,100,0,?
AK,AK,2016,February,'Number of Deaths',4198,?,100,0,?
AK,AK,2016,March,'Number of Deaths',4230,?,100,0,?
AK,AK,2016,April,'Number of Deaths',4262,?,100,0,?
AK,AK,2016,May,'Number of Deaths',4241,?,100,0,?
AK,AK,2016,June,'Number of Deaths',4261,?,100,0,?
AK,AK,2016,July,'Number of Deaths',4269,?,100,0,?
AK,AK,2016,August,'Number of Deaths',4276,?,100,0.023386,?
AK,AK,2016,September,'Number of Deaths',4256,?,100,0.046992,?
AK,AK,2016,October,'Number of Deaths',4291,?,100,0.069914,?
